Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;Sum;Average;ID
Zupan;Tilen;OK Komenda;M12;0:14:44;1;25;25;25;25;50;25;700
Turk;Nejc;OK Komenda;M12;0:14:50;2;20;20;20;20;40;20;701
Seljak;Luka;OK Komenda;M12;0:18:20;3;15;;;15;15;15;613
Grum;Miklavž;OK Komenda;M12;;;;15;;;15;15;805
Kavčič;Valentin;OK Azimut;M12;0:25:16;4;12;;;12;12;12;﻿788
Petrič;Timi;OK Azimut;M12;;;;;;;0;0;792
Pagon;Tine;OK Azimut;M12;;;;;;;0;0;793
Šorli CK;Blaž;OK Azimut;M12;;;;;;;0;0;794
Šorli BD;Blaž;OK Azimut;M12;;;;;;;0;0;795
Leban;Domen;OK Azimut;M12;;;;;;;0;0;824
Gnezda;Žan;OK Azimut;M12;;;;;;;0;0;849
Lap;Nik;OK Komenda;M12;wrongKat;;;*;;*;0;0;882
Medved;Jakob;OK Komenda;M12;;;;;;;0;0;891
Mervič;Luka;PD Ajdovščina;M12;;;;;;;0;0;865
Premrn;Denis;PD Ajdovščina;M12;;;;;;;0;0;866
Štrukelj;Žan;PD Ajdovščina;M12;;;;;;;0;0;867
Gantar;Primož;OK Azimut;M12;;;;;;;0;0;917
Salopek;Tihon;OK Azimut;M14;;;;25;25;;50;25;833
Jevševar;Martin;OK Brežice;M14;0:32:05;2;20;15;20;20;40;20;585
Kern;Rok;OK Komenda;M14;0:31:57;1;25;6;8;25;33;16;648
Anderluh;Luka;OK Polaris;M14;0:33:37;4;12;20;6;12;32;16;474
Kavčič;Julijan;OK Azimut;M14;0:33:19;3;15;12;;15;27;14;731
Kunc;Matevž;OK Tivoli;M14;;;;7;15;;22;11;578
Žurbi;Domen;OK Komenda;M14;0:41:37;8;6;;12;6;18;9;688
Logar;Enej;OK Azimut;M14;;;;5;10;;15;8;872
Čelik;Aljaž;OK Azimut;M14;;;;8;7;;15;8;736
Vetrih;Samo;PD Ajdovščina;M14;0:39:22;6;8;4;;8;12;6;899
Grad;Filip;OK Tivoli;M14;1:20:50;13;1;10;;1;11;6;637
Žvanut;Tilen;PD Ajdovščina;M14;0:38:36;5;10;1;;10;11;6;812
Gregorič;Nik;PD Ajdovščina;M14;0:45:54;9;5;3;;5;8;4;725
Poženel;Natan Maj;OK Azimut;M14;0:39:34;7;7;-;-;7;7;7;873
Obid;Aljaž;OK Azimut;M14;;;;1;5;;6;3;846
Katarič;Tit;OK Azimut;M14;0:46:53;10;4;;;4;4;4;845
Samec;Andraž;PD Ajdovščina;M14;0:56:21;11;3;;;3;3;3;807
Groff;Žiga;OK Azimut;M14;1:05:53;12;2;;;2;2;2;483
Krkoč;Urban;PD Ajdovščina;M14;;;;2;;;2;2;724
Bratož;Jani;PD Ajdovščina;M14;;;;1;;;1;1;773
Brus;Jakob;OK Azimut;M14;;;;1;;;1;1;848
Domnik;Nejc;OK Azimut;M14;;;;;;;0;0;779
Šorli;Žiga;OK Azimut;M14;;;;;;;0;0;797
Primožič;An;OK Azimut;M14;;;;;;;0;0;814
Wahl;Jan;OK Azimut;M14;;;;;;;0;0;825
Jamšek;Benjamin;OK Azimut;M14;;;;;;;0;0;907
Hribar;Timotej;OK Brežice;M14;;;;;-;;0;0;823
Močnik;Fedja;OK Polaris;M14;;;;;;;0;0;654
Pestotnik Stres;Svit;OK Polaris;M14;;;;;;;0;0;706
Keresteš;Vid;OK Trzin;M14;;;;;;;0;0;586
Montes;Manuel Alberto;PD Ajdovščina;M14;;;;;;;0;0;786
Tozan;Uroš;PD Ajdovščina;M14;;;;;;;0;0;903
Kavčič;Domen;OK Komenda;M16;0:59:04;1;25;;25;25;50;25;652
Smrekar;Peter;OK Tivoli;M16;1:12:13;2;20;25;;20;45;22;744
Kunc;Gregor;OK Tivoli;M16;1:14:15;3;15;;20;15;35;18;499
Serženta;Aleš;OK Azimut;M16;;;;;;;0;0;739
Smole;Enej;OK Polaris;M16;;;;;;;0;0;471
Marc;Jan;PD Ajdovščina;M16;;;;;;;0;0;691
Škarabot;Matej;OK Polaris;M18;0:49:44;2;20;25;20;20;45;22;132
Petrovič;Gašper;OK Polaris;M18;;;;15;25;;40;20;71
Gantar;Tjaž;OK Azimut;M18;0:48:40;1;25;12;;25;37;18;536
Kavčič;Jure;OK Komenda;M18;1:18:07;6;8;7;15;8;23;12;901
Čopi;Gašper;OK Azimut;M18;;;;20;-;;20;20;737
Sirc;Lovro;OK Komenda;M18;0:56:43;3;15;5;;15;20;10;913
Hadalin;Iztok;OK Azimut;M18;1:06:33;4;12;6;;12;18;9;704
Rupnik;Ambrož;OK Azimut;M18;1:07:41;5;10;8;;10;18;9;778
Rodman;Maks;PD Ajdovščina;M18;;;;10;;;10;10;723
Taljat;Žiga;OK Azimut;M18;;;;;;;0;0;800
Smole;Juš;OK Polaris;M18;;;;;;;0;0;317
Smole;Brin;OK Polaris;M18;;;;;;;0;0;318
Močnik;Saš;OK Polaris;M18;;;;;;;0;0;323
Rebolj;Aljoša;OK Polaris;M18;;;;;;;0;0;711
Kurinčič;Simon;OK Komenda;M21A;1:08:02;2;20;6;25;20;45;22;838
Knap;Franc;OK Azimut;M21A;1:09:41;4;12;8;20;12;32;16;97
Zupan;Gregor;OK Komenda;M21A;1:12:27;5;10;20;*;10;30;15;712
Močnik;Nejc;OK Azimut;M21A;1:08:28;3;15;12;;15;27;14;190
Zobavnik;Aleš;Kamniški OK;M21A;;;;25;;;25;25;698
Močnik;Rok;OK Azimut;M21A;0:49:03;1;25;;;25;25;25;191
Golja;Elio;OK Polaris;M21A;;;;10;15;;25;12;664
Eržen;Boris;ŠOK;M21A;;;;15;*;;15;15;559
Gregorc;Urban;PD Ajdovščina;M21A;1:29:51;6;8;5;;8;13;6;859
Čufer;David;PD Ajdovščina;M21A;;;;7;;;7;7;337
Borštnik;Aljaž;OK Tivoli;M21A;;;;4;;;4;4;26
Eržen;Valentin;OK Azimut;M21A;;;;*;;;0;0;386
Erznožnik;Matic;OK Azimut;M21A;;;;;;;0;0;729
Pišljar;Jaka;OK Komenda;M21A;;;;-;;;0;0;77
Balek;Aleš;OK Slovenj Gradec;M21A;;;;;;;0;0;829
Černe;Aljaž;OK Tivoli;M21A;;;;;;;0;0;663
Furman;Zoran;OK Slovenske Konjice;M21A;;;;;;;0;0;5
Kacin;Emil;OK Azimut;M21B;0:52:33;2;20;25;15;20;45;22;96
Zavrl;Janez;OK Komenda;M21B;1:03:30;5;10;20;20;10;40;20;610
Vidič;Matej;OK Azimut;M21B;0:51:20;1;25;;12;25;37;18;757
Malus;Franc;OK Komenda;M21B;1:13:22;6;8;8;25;8;33;16;904
Bogataj;Boštjan;OK Azimut;M21B;0:56:39;4;12;15;10;12;27;14;765
Seljak;Borut;OK Komenda;M21B;0:56:31;3;15;;;15;15;15;721
Logar;Erik;OK Azimut;M21B;;;;12;;;12;12;53
Plavčak;Luka;ŠOK;M21B;;;;10;;;10;10;697
Babič;Silvo;OK Komenda;M21B;;;;7;;;7;7;914
Koprivc;Matjaž;OK Azimut;M21B;;;;;;;0;0;239
Drešček;Andraž;OK Azimut;M21B;;;;;;;0;0;481
Čopi;Simon;OK Azimut;M21B;;;;*;*;;0;0;834
Šorli;Janez;OK Azimut;M21B;;;;;;;0;0;876
Čujec;Sergej;OK Azimut;M21B;;;;;;;0;0;877
Pogačar;Aljoša;OK Komenda;M21B;;;;;;;0;0;614
Kern;Boštjan;OK Komenda;M21B;;;;;;;0;0;830
Jeraj;Blaž;OK Komenda;M21B;;;;;;;0;0;909
Vengust;Tadej;Kamniški OK;M21B;;;;*;;;0;0;852
Šalamun;Jan;OK Polaris;M21B;;;;;;;0;0;150
Rojc;Nejc;OK Azimut;M21B;;;;;;;0;0;387
Gantar;Kristjan;OK Azimut;M21B;;;;;;;0;0;918
Cerar;Gašper;OK Komenda;M21B;;;;;;;0;0;764
