mesto;sola;tocke
1.;OC Fürstenfeld;421
2.;Team Italia;295
3.;Team Norway;294
4.;Team Czech Republic;284
5.;OK Azimut;263
6.;Pécsi Vasutas SK;254
7.;Klub vytrvalostnich sportu Sumperk;229
8.;Orientacijski Klub Polaris;228
8.;OK Lokomotiva Pardubice;228
10.;MOM Budapest;213
10.;SK Zabovresky Brno;213
12.;Tipo Orienteering Club;203
13.;Mariborski OK;202
14.;Czech Junior team;195
15.;Naturfreunde Wien;190
16.;ÖFOL Youth;184
17.;Austrian junior team;175
18.;Vyspely jih Čech (a okoli);173
19.;G.S. Pavione - Imer;164
20.;OLC Graz;162
21.;Belgian Military Team;146
22.;WiN Team;141
23.;OK Tivoli;135
24.;U.S. Primiero A.S.D;132
25.;OLC Wienerwald;128
25.;Naturfreunde Villach Orienteering;128
27.;hamok;126
28.;Orientacijski klub Komenda;125
28.;HSV Pinkafeld;125
30.;HSV OL Wiener Neustadt;121
31.;Expres Czech Team;119
31.;Tabáni Spartacus Sport és Környezetvédõ Egyesület;119
33.;HESTRA IF;109
34.;Sävedalens AIK;102
35.;Siralyok Se.;93
36.;Cleveland Orienteering Klub;92
37.;SK Pohjantähti;86
38.;Punto K Orienteering ASD;84
39.;O'Jura;81
39.;Orienteering Pergine;81
41.;Junior Team Trentino;80
42.;Semiperdo Orienteering Maniago;79
42.;;79
44.;UKS TUKAN Iwiny;78
44.;BETA URSUS Brno;78
46.;IK Hakarpspojkarna;77
47.;Gruppo Orientamento CAI XXX Ottobre A.S.D.;74
47.;Orienteering Crea Rossa A.S.D.;74
49.;OLC Union Viktring;73
50.;OK Orion;71
51.;ATLETICA INTERFLUMINA;70
51.;Kamniški orientacijski klub;70
53.;Darlington Orienteers;69
54.;KRK Trainingcamp;68
54.;OMEGA RUSSIA;68
56.;Planinsko Društvo Ajdovščina;66
56.;SSD GAJA;66
58.;Ivan Merz;64
58.;SPORTUNION Klagenfurt;64
58.;OSK SAKAS;64
61.;Ljusdals OK;62
62.;Azuolas;60
62.;SU Schöckl Graz;60
64.;CS Unirea Alba Iulia;58
65.;BÖF;56
66.;Eksjö SOK;55
67.;Leibnitzer AC -Orienteering;53
68.;NMOLT;50
69.;Corsaorientamento Club Roma;49
70.;ESV Lok Berlin-Schöneweide;48
70.;OK Japetic;48
72.;OLregioolten;47
72.;OK Vihor;47
74.;Vicenza Orienteering Team;46
75.;Lessinia Orienteering;45
76.;OK Landehof;43
76.;LC Erste Bank;43
76.;O-Baby Team Moscow;43
79.;Tullinge SK;42
80.;KFKI Petõfi SK;41
80.;Modum OL;41
80.;OK Trzin;41
83.;Orientation Haut-Jura;40
83.;TJ Slovan Luhačovice;40
85.;IL Gneist;39
86.;OL HSV Wr. Neustadt;38
86.;CUS Parma Orienteering;38
86.;Hyvinkään Rasti;38
86.;Škofjeloški orientacijski klub;38
90.;HAMMEGA;37
90.;HSV Villach;37
92.;German Military Team;36
92.;Paksi Sportegyesület;36
92.;Tolered Utby OL;36
92.;HSV KLAGENFURT;36
92.;Orienteering Klosterneuburg;36
92.;Skaneslättens OL;36
98.;Panda Orienteering Valsugana;35
98.;Täby OK;35
100.;Söderhamns OK;34
100.;OK Brežice;34
100.;OK Roxen;34
103.;ORIENTALP;33
103.;Sportclub Meran;33
105.;Freidig;32
105.;Varteig OL;32
105.;OK PAN Kristianstad;32
108.;OLG Basel Oberwil;31
108.;OK Ravinen - Nacka;31
108.;Ounasvaaran Hiihtoseura;31
111.;Radioklub Blansko;30
111.;Södertälje-Nykvarn Orientering;30
111.;HSV Ried im Innkreis;30
114.;Lisboa OK;29
115.;NF Steiermark;28
115.;OK Bjelovar;28
115.;PVM Pécs;28
115.;OSI;28
119.;Sandefjord OK;27
119.;Vandrarringen;27
119.;North Gloucestershire Orienteering Club;27
122.;OK Hedströmmen;26
122.;Ennstal;26
122.;SV Mietraching;26
125.;SSV Hallein-Neualm;25
126.;OK Njudung;24
126.;Naturfreunde Kühnsdorf;24
126.;IK Stern;24
126.;U.S. Aldo Moro Paluzza;24
126.;Vänersborgs SK;24
126.;OLifant;24
132.;VA-O;23
